date,000300.SH,399905.SZ,000906.SH,000016.SH
2011/5/9,3129.759,4889.92,3435.943,2036.764
2011/5/10,3153.221,4918.674,3460.21,2057.666
2011/5/11,3145.085,4929.488,3455.715,2048.342
2011/5/12,3101.603,4863.795,3408.402,2021.283
2011/5/13,3128.093,4902.564,3436.989,2043.259
2011/5/16,3100.463,4900.706,3414.451,2019.536
2011/5/17,3116.028,4873.954,3421.902,2033.78
2011/5/18,3139.379,4906.189,3446.736,2053.637
2011/5/19,3120.639,4879.892,3426.726,2046.113
2011/5/20,3121.596,4863.185,3424.342,2052.544
2011/5/23,3022.98,4679.527,3310.497,1993.067
2011/5/24,3026.223,4672.076,3311.695,1995.273
2011/5/25,2990.343,4618.748,3272.82,1971.097
2011/5/26,2978.381,4572.942,3254.571,1974.328
2011/5/27,2963.308,4428.894,3215.283,1976.693
2011/5/30,2954.506,4345.048,3192.395,1980.74
2011/5/31,3001.556,4444.276,3248.9,2010.564
2011/6/1,3004.173,4490.892,3259.797,2002.659
2011/6/2,2955.705,4429.999,3209.386,1963.052
2011/6/3,2986.349,4506.196,3248.372,1974.951
2011/6/7,3004.262,4547.303,3270.513,1984.446
2011/6/8,3008.652,4562.972,3276.995,1980.672
2011/6/9,2951.889,4456.73,3211.366,1947.875
2011/6/10,2961.932,4469.049,3221.755,1951.031
2011/6/13,2950.348,4468.787,3212.404,1945.72
2011/6/14,2993.559,4540.939,3260.718,1970.099
2011/6/15,2963.119,4499.694,3228.492,1952.076
2011/6/16,2917.578,4402.143,3173.516,1927.047
2011/6/17,2892.157,4337.367,3140.881,1912.379
2011/6/20,2874.896,4278.753,3115.966,1904.8
2011/6/21,2909.073,4338.422,3154.668,1923.816
2011/6/22,2908.582,4321.219,3151.03,1923.562
2011/6/23,2957.629,4402.938,3205.834,1950.874
2011/6/24,3027.47,4509.18,3281.964,1997.298
2011/6/27,3036.491,4568.189,3300.333,1994.583
2011/6/28,3041.734,4574.477,3305.73,1993.723
2011/6/29,3000.169,4511.545,3260.478,1960.771
2011/6/30,3044.089,4579.332,3308.537,1989.433
2011/7/1,3049.745,4604.746,3317.831,1986.03
2011/7/4,3121.98,4719.391,3397.454,2033.855
2011/7/5,3122.5,4749.424,3403.464,2029.623
2011/7/6,3113.712,4760.917,3398.512,2017.172
2011/7/7,3101.68,4761.452,3388.902,2006.141
2011/7/8,3109.183,4756.614,3394.057,2014.733
2011/7/11,3113.206,4799.42,3405.269,2010.689
2011/7/12,3056.905,4731.118,3347.128,1968.076
2011/7/13,3106.247,4825.419,3404.492,1998.413
2011/7/14,3115.745,4866.165,3419.737,2005.752
2011/7/15,3128.889,4896.043,3435.902,2012.032
2011/7/18,3122.6,4895.26,3430.681,2002.826
2011/7/19,3095.125,4843.705,3398.917,1988.297
2011/7/20,3091.567,4849.057,3397.041,1983.668
2011/7/21,3059.139,4784.388,3358.841,1961.302
2011/7/22,3067.985,4800.938,3369.058,1964.828
2011/7/25,2968.289,4613.73,3253.771,1909.813
2011/7/26,2977.766,4633.372,3265.073,1914.154
2011/7/27,3000.052,4710.379,3297.389,1918.787
2011/7/28,2981.002,4680.898,3276.531,1900.219
2011/7/29,2972.079,4628.32,3259.544,1908.213
2011/8/1,2977.721,4644.462,3267.102,1909.952
2011/8/2,2956.383,4610.783,3243.616,1894.323
2011/8/3,2954.87,4625.173,3245.076,1893.003
2011/8/4,2960.309,4649.425,3253.981,1895.43
2011/8/5,2897.417,4559.018,3186.41,1850.143
2011/8/8,2793.897,4330.771,3060.382,1794.431
2011/8/9,2798.19,4317.107,3061.298,1801.822
2011/8/10,2824.12,4378.698,3093.691,1814.667
2011/8/11,2866.924,4454.394,3142.32,1840.289
2011/8/12,2875.365,4505.886,3158.726,1838.159
2011/8/15,2917.883,4571.719,3205.286,1872.389
2011/8/16,2897.581,4533.321,3181.756,1862.892
2011/8/17,2886.013,4513.485,3168.729,1858.303
2011/8/18,2834.254,4436.101,3112.564,1824.857
2011/8/19,2807.664,4395.019,3083.463,1806.283
2011/8/22,2777.787,4363.959,3053.579,1790.136
2011/8/23,2821.003,4434.922,3101.658,1821.192
2011/8/24,2810.016,4427.978,3091.502,1806.79
2011/8/25,2903.837,4520.171,3184.352,1878.479
2011/8/26,2901.216,4530.423,3184.151,1876.334
2011/8/29,2852.809,4490.158,3137.612,1836.877
2011/8/30,2841.74,4451.726,3121.519,1835.072
2011/8/31,2846.776,4430.538,3121.627,1841.539
2011/9/1,2834.535,4395.069,3105.142,1840.371
2011/9/2,2803.854,4344.977,3071.062,1820.676
2011/9/5,2743.817,4238.069,3002.716,1786.465
2011/9/6,2723.303,4204.908,2979.991,1779.518
2011/9/7,2779.09,4306.361,3043.893,1813.864
2011/9/8,2756.105,4260.155,3016.742,1799.784
2011/9/9,2751.095,4233.748,3007.777,1800.934
2011/9/13,2720.283,4164.288,2969.978,1783.181
2011/9/14,2733.108,4212.129,2989.242,1787.115
2011/9/15,2729.051,4215.5,2986.6,1779.684
2011/9/16,2733.987,4214.816,2990.452,1784.934
2011/9/19,2679.27,4131.885,2930.868,1749.705
2011/9/20,2689.845,4151.851,2943.118,1757.641
2011/9/21,2771.011,4275.094,3031.546,1808.37
2011/9/22,2685.688,4151.8,2939.757,1750.611
2011/9/23,2669.478,4117.735,2920.333,1740.322
2011/9/26,2610.919,4051.425,2860.752,1689.931
2011/9/27,2637.879,4068.231,2885.623,1710.987
2011/9/28,2610.59,3999.782,2850.855,1695.837
2011/9/29,2588.185,3871.06,2808.787,1689.538
2011/9/30,2581.351,3856.828,2800.623,1684.497
2011/10/10,2557.082,3832.577,2776.532,1669.348
2011/10/11,2551.994,3817.927,2769.698,1675.42
2011/10/12,2644.758,3950.655,2869.247,1737.358
2011/10/13,2662.601,4001.853,2893.181,1746.935
2011/10/14,2653.782,3985.193,2882.963,1745.214
2011/10/17,2666.951,3997.121,2895.806,1757.056
2011/10/18,2592.209,3877.024,2813.145,1709.283
